location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
IT0761A,Milano,IT,2020-09-29T10:00:00Z,2020-09-29T12:00:00+02:00,no2,34.631817,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T09:00:00Z,2020-09-29T11:00:00+02:00,no2,39.15826,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T08:00:00Z,2020-09-29T10:00:00+02:00,no2,39.793777,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T07:00:00Z,2020-09-29T09:00:00+02:00,no2,38.400826,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T06:00:00Z,2020-09-29T08:00:00+02:00,no2,29.744816,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T05:00:00Z,2020-09-29T07:00:00+02:00,no2,27.716349,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T04:00:00Z,2020-09-29T06:00:00+02:00,no2,26.647642,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T03:00:00Z,2020-09-29T05:00:00+02:00,no2,29.11708,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T02:00:00Z,2020-09-29T04:00:00+02:00,no2,25.508898,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T01:00:00Z,2020-09-29T03:00:00+02:00,no2,28.699455,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-29T00:00:00Z,2020-09-29T02:00:00+02:00,no2,24.409063,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-28T23:00:00Z,2020-09-29T01:00:00+02:00,no2,28.823963,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
IT0761A,Milano,IT,2020-09-28T22:00:00Z,2020-09-29T00:00:00+02:00,no2,19.280827,µg/m³,45.44917,9.1825,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
